"ROWID","YEAR","DATANUM","SERIAL","HHWT","HHTYPE","REGION","STATEFIP","COUNTY","METRO","CITY","GQ","FRIDGE","PHONE","CINETHH","CILAPTOP","CISMRTPHN","CITABLET","CIHISPEED","VEHICLES","PERNUM","PERWT","RELATE","RELATED","SEX","AGE","BIRTHQTR","MARST","BIRTHYR","MARRNO","MARRINYR","YRMARR","DIVINYR","RACE","RACED","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","SCHOOL","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCRETIR","POVERTY","VETDISAB","DIFFREM"
2843622,2016,1,1245009,13,1,33,48,0,0,0,1,2,2,3,2,2,2,0,1,2,13,2,201,2,61,2,1,1955,2,1,1990,1,1,100,48,4800,999,9990,999,9990,0,1,38400,38400,38400,0,0,0,239,0,1
2434372,2016,1,1067232,273,1,12,42,1290,3,0,1,2,2,1,1,1,1,10,4,7,178,12,1242,2,14,4,6,2002,0,0,0,0,1,100,48,4800,999,9990,999,9990,0,1,9999999,9999999,999999,99999,99999,999999,0,0,2
1952347,2016,1,850392,84,1,12,36,630,4,0,1,2,2,1,1,1,1,10,2,1,84,1,101,1,32,1,1,1984,1,2,2016,1,1,100,36,3600,996,9960,999,9990,0,1,20000,60000,20000,0,0,0,374,0,1
86950,2016,1,38620,80,1,41,4,130,4,0,1,2,2,1,1,1,1,10,2,3,80,3,301,2,10,3,6,2006,0,0,0,0,1,100,4,400,211,2110,999,9990,0,2,9999999,65000,999999,99999,99999,999999,229,0,1
1809339,2016,1,788778,124,1,12,34,0,0,0,1,2,2,1,1,1,1,10,2,2,75,2,201,2,34,2,1,1982,1,1,2010,1,1,100,42,4200,32,321,999,9990,0,1,4500,97120,4500,0,0,0,403,0,1
2633015,2016,1,1157609,42,7,33,48,4530,4,0,1,2,2,1,1,1,1,10,2,2,95,11,1115,2,35,2,6,1981,0,0,0,0,1,100,47,4700,50,502,920,9200,0,1,19200,19200,19200,0,0,0,155,0,1
1101920,2016,1,471379,61,1,21,18,0,0,0,1,2,2,1,1,2,2,20,1,1,61,1,101,1,69,4,1,1947,1,1,1965,1,1,100,18,1800,940,9400,999,9990,0,1,48600,71200,0,15300,0,9000,493,0,1
1324995,2016,1,573364,20,1,31,24,410,4,0,1,2,2,1,1,1,1,10,2,2,22,2,201,2,68,4,1,1948,1,1,1966,1,1,100,36,3600,26,261,920,9200,0,1,39900,64100,0,7900,0,0,446,0,1
1502925,2016,1,653073,49,7,21,26,0,1,0,2,2,2,1,1,1,1,10,2,3,21,12,1241,2,69,2,4,1947,1,1,1989,1,1,100,26,2600,999,9990,999,9990,0,1,12800,12800,0,12800,0,0,112,0,1
593357,2016,1,244596,78,9,11,9,70,4,0,1,2,2,1,1,1,1,10,3,2,74,11,1114,2,64,4,4,1952,1,1,1976,1,1,100,9,900,22,220,88,880,0,1,37700,33500,0,19200,0,0,303,0,1
2256200,2016,1,986670,78,1,21,39,0,4,0,1,2,2,1,1,1,1,10,2,1,78,1,101,2,52,3,1,1964,2,1,1994,1,1,100,39,3900,22,220,999,9990,0,1,72000,108000,72000,0,0,0,501,0,1
2835500,2016,1,1241672,98,1,33,48,0,0,0,1,2,2,1,1,1,1,10,2,4,38,3,301,1,10,4,6,2006,0,0,0,0,1,100,48,4800,940,9400,999,9990,0,2,9999999,81000,999999,99999,99999,999999,333,0,1
649674,2016,1,270554,51,1,31,12,0,4,0,1,2,2,1,1,1,1,10,2,2,56,2,201,2,58,4,1,1958,1,1,1980,1,2,200,260,26030,308,3080,999,9990,2,1,90000,532320,90000,0,0,0,501,0,1
1880379,2016,1,819111,66,1,12,36,1030,3,0,1,2,2,1,1,1,1,10,2,1,66,1,101,1,35,1,1,1981,1,1,2012,1,1,100,36,3600,51,511,50,500,0,1,190000,200700,190000,0,0,0,501,0,1
787901,2016,1,334043,166,1,31,12,0,0,0,1,2,2,1,1,2,1,20,2,3,130,3,301,2,8,4,6,2008,0,0,0,0,1,100,12,1200,940,9400,999,9990,0,2,9999999,32180,999999,99999,99999,999999,113,0,1
199767,2016,1,86333,72,1,42,6,790,4,0,1,2,2,1,1,1,1,10,6,5,58,4,401,2,27,3,1,1989,1,1,2014,1,1,100,6,600,84,840,22,220,0,1,60000,212500,60000,0,0,0,501,0,1
1607158,2016,1,699674,78,1,32,28,0,4,0,1,2,2,1,1,1,1,10,2,2,149,2,201,1,30,4,1,1986,1,1,2008,1,1,100,28,2800,50,500,999,9990,0,1,38000,78000,38000,0,0,0,323,0,1
2579060,2016,1,1133829,7,1,32,47,0,0,0,1,2,2,1,1,1,1,10,4,6,24,3,302,1,14,3,6,2002,0,0,0,0,1,100,47,4700,999,9990,999,9990,0,2,9999999,92200,999999,99999,99999,999999,187,0,1
299111,2016,1,125574,323,7,42,6,370,4,0,1,2,2,1,1,1,1,10,2,2,504,11,1115,2,26,4,6,1990,0,0,0,0,1,100,6,600,416,4160,999,9990,0,1,40000,40000,40000,0,0,0,323,0,1
252490,2016,1,107209,63,1,42,6,670,4,0,1,2,2,1,1,2,2,10,2,3,54,3,301,1,5,4,6,2011,0,0,0,0,1,100,6,600,50,500,26,261,0,2,9999999,39000,999999,99999,99999,999999,204,0,1
